year,month,unique_websites,unique_emails,brands_targeted
2019,December,45771,45072,341
2019,November,39580,42424,325
2019,October,76804,45057,333
2019,September,86276,42273,425
2019,August,86908,40457,414
2019,July,93194,35530,444
2019,June,60889,34932,289
2019,May,61820,40177,308
2019,April,59756,37054,341
2019,March,81122,42399,330
2019,February,50983,35364,288
2019,January,48663,34630,327
2018,December,45794,87386,310
2018,November,35719,64905,233
2018,October,56815,87619,293
2018,September,53546,88156,286
2018,August,44855,89323,260
2018,July,52613,93078,231
2018,June,51401,90882,227
2018,May,81257,82547,285
2018,April,100382,91054,274
2018,March,113897,84444,238
2018,February,88754,89010,273
2018,January,60887,89250,235
2017,December,60926,85744,268
2017,November,54322,86547,323
2017,October,65509,61322,348
2017,September,57317,98012,325
2017,August,73393,99172,313
2017,July,60232,99024,277
2017,June,50720,92657,452
2017,May,45327,93285,457
2017,April,50328,87453,460
2017,March,51265,121860,444
2017,February,50567,100932,423
2017,January,42889,96148,424
2016,December,69533,95555,264
2016,November,118928,64324,332
2016,October,89232,51153,357
2016,September,104973,69925,361
2016,August,104349,66166,340
2016,July,155102,93160,358
2016,June,158782,98006,418
2016,May,148295,96490,425
2016,April,158988,121028,411
2016,March,123555,229265,418
2016,February,79259,229315,406
2016,January,86557,99384,431
2015,December,65885,80548,406
2015,November,44575,105233,408
2015,October,48114,194499,391
2015,September,64600,106421,402
2015,August,88976,146439,442
2015,July,87564,142155,434
2015,June,77144,125757,420
2015,May,90060,149616,404
2015,April,85803,142099,393
2015,March,70534,115808,421
2015,February,34749,55795,438
2015,January,31064,49608,420
2014,December,17320,62765,300
2014,November,14528,66217,273
2014,October,15246,68270,271
2014,September,22592,53661,340
2014,August,29609,54390,349
2014,July,40272,55282,361
2014,June,42212,53259,345
2014,May,44407,60809,357
2014,April,41759,57733,332
2014,March,44212,60925,362
2014,February,38175,56883,355
2014,January,42828,53984,384
2013,December,42890,52489,362
2013,November,37007,53047,356
2013,October,31876,55241,350
2013,September,45115,56767,379
2013,August,48758,61792,400
2013,July,49480,61453,390
2013,June,38110,14698,425
2013,May,44511,18297,431
2013,April,36480,20086,441
2013,March,36983,19892,405
2013,February,35024,25385,348
2013,January,46066,28850,402
2012,December,45628,28195,418
2012,November,46002,24563,430
2012,October,51232,23365,401
2012,September,46895,21684,395
2012,August,49947,21751,398
2012,July,51551,30955,426
2012,June,53214,24811,390
2012,May,58762,33464,400
2012,April,63253,25850,428
2012,March,53939,29762,392
2012,February,56859,30237,392
2012,January,53225,25444,370
2011,December,48410,32979,362
2011,November,44030,25685,348
2011,October,36733,19606,311
2011,September,34475,18388,329
2011,August,35314,23327,316
2011,July,32451,24129,317
2011,June,28148,22273,310
2011,May,35213,22195,331
2011,April,33008,20908,333
2011,March,38173,26402,313
2011,February,31544,25018,335
2011,January,29815,23535,339
2010,December,26124,21020,279
2010,November,29226,23017,305
2010,October,28985,23619,317
2010,September,31705,22188,335
2010,August,29713,25273,301
2010,July,30582,26353,274
2010,June,32279,33617,258
2010,May,31856,26781,276
2010,April,33253,24664,270
2010,March,29879,30577,298
2010,February,25046,26909,258
2010,January,34995,29499,265
2009,December,46190,28897,249
2009,November,44907,30490,306
2009,October,46522,33254,356
2009,September,46882,40066,333
2009,August,56362,40621,341
2009,July,47761,34683,261
2009,June,49084,35918,259
2009,May,45959,37165,268
2009,April,36194,35287,273
2009,March,30760,30125,310
2009,February,21974,31298,272
2009,January,27300,34588,294
2008,December,15709,23187,252
2008,November,19480,24357,269
2008,October,27739,34758,264
2008,September,27209,33261,229
2008,August,26303,33928,231
2008,July,21507,24007,237
2008,June,18509,28151,227
2008,May,20317,23762,294
2008,April,20410,24924,276
2008,March,24908,25630,141
2008,February,36002,30716,139
2008,January,20305,29284,131
2007,December,25328,25683,144
2007,November,23630,28074,178
2007,October,34266,31650,120
2007,September,28015,38514,92
2007,August,32079,25624,129
2007,July,30999,23917,126
2007,June,31709,28888,146
2007,May,37438,23415,149
2007,April,55643,23656,172
2007,March,20871,24853,166
2007,February,16463,23610,135
2007,January,27221,29930,135
2006,December,28531,23787,146
2006,November,37439,25816,120
2006,October,37444,26877,176
2006,September,24565,22136,117
2006,August,10091,26150,148
2006,July,14191,23670,154
2006,June,9255,28571,130
2006,May,11976,20109,137
2006,April,11121,17490,92
2006,March,9666,18480,70
2006,February,9103,17163,105
2006,January,9715,17877,101
2005,December,7197,15244,121
2005,November,4630,16882,93
2005,October,4367,15820,96
2005,September,5259,13562,106
2005,August,5259,13776,84
2005,July,4564,14135,71
2005,June,4280,15050,74
2005,May,3326,14987,107
2005,April,2854,14411,79
2005,March,2870,12883,79
2005,February,2625,13468,69
2005,January,2560,12845,64
2004,December,1707,8829,55
2004,November,1518,8975,51
2004,October,1142,6957,44
2004,September,543,,45
2004,August,727,2158,46
2004,July,584,2625,42
2004,June,,1422,
2004,May,,1197,
2004,April,,1125,
2004,March,,402,
2004,February,,282,
2004,January,,176,
2003,December,,116,
